Hour,Day,Month,Year,Energy,Cloud Coverage,Visibility,Temperature,Dew Point,Relative Humidity,Wind Speed,Station Pressure,Altimeter
14,5,3,2016,551.75,1,10,6.44,2.23,70.76,15.08,29.33,30.12
15,20,6,2017,1059.5,0.43,10,30.02,12.63,33.56,12.72,29.12,29.91
7,18,7,2017,816.75,0,10,22.02,16.67,66.6,0.2,29.29,30.08
6,9,3,2016,60.13,0.91,10,15.11,12.76,83.88,10.68,29.11,29.9
14,19,5,2017,2230.75,1,10,14.02,12.39,91.51,13.19,29.21,30
13,29,11,2016,1798.25,0.46,10,13.8,9.8,75.64,15.84,28.77,29.55
13,13,3,2016,941.25,1,9.72,16.53,15.41,91.72,6.53,28.9,29.69
12,13,10,2016,4720.25,0,10,13.35,4.39,52.92,1.28,29.51,30.31
15,18,4,2016,3432.5,0,10,27.39,3.18,19.36,8.44,29.41,30.21
9,8,1,2017,1433.75,0,10,-13.93,-17.34,70.12,0,29.94,30.75
14,25,10,2016,1598.5,0.4,10,15.18,4.25,48.44,7.76,29.52,30.32
15,6,7,2017,731.75,0.56,10,30.55,21.54,56.8,1.16,29.19,29.98
7,6,12,2016,18.93,1,4.55,1.58,1.07,93.82,6.41,28.95,29.74
15,3,5,2017,1029.25,1,10,10.49,6.54,68.8,7.04,29.3,30.09
7,12,10,2017,23.27,1,0.37,14.54,14.42,99.89,4.93,29.37,30.17
14,20,3,2016,1401,1,10,7.19,-5.06,40.08,14.48,29.34,30.14
15,25,2,2016,1499,0.56,10,2.78,-2.08,67.96,14.08,29.27,30.06
6,1,6,2017,334.75,0,10,16.43,8.58,53.76,1.92,29.31,30.11
17,8,6,2017,1947,0,10,27.13,6.5,24.6,3.48,29.09,29.88
13,14,2,2017,3817.75,0,10,11.06,2.18,54.68,14.68,29.05,29.84
14,26,8,2016,3046.5,0.54,10,28.74,23.61,71.8,5.64,29.3,30.09
17,23,2,2017,31.25,0.64,9.92,14.36,9.72,76.2,16.08,28.89,29.67
10,8,1,2017,2118.75,0,10,-12.36,-17.96,57.83,0,29.93,30.74
6,3,7,2017,84,0.38,10,22.46,18.86,75.68,0,29.29,30.08
17,4,8,2016,1984.25,0,10,29.74,24.43,69.88,3.94,29.13,29.93
9,10,4,2016,401.25,1,10,5.82,0.77,67.68,18.72,29.13,29.92
17,1,5,2016,463.25,1,4.79,16.32,14.6,91.22,11.65,29.09,29.88
9,17,9,2017,2616,0,10,25.92,19.58,66.16,2.12,29.3,30.09
7,15,4,2016,528.25,0,10,10.23,2.28,58.72,9.08,29.4,30.2
14,13,4,2017,2401,0.54,10,26.18,13.41,43.36,9.8,29.36,30.16
13,12,12,2016,1924,0.44,10,-1.41,-4.75,21.74,9.72,8.53,30.11
15,10,7,2017,3473,0.79,10,31.15,23.34,62.2,17.96,29.06,29.85
14,5,4,2016,4270,0,10,9.27,-3.27,40.12,13.96,29.51,30.31
9,16,12,2016,385.25,1,10,-7.17,-12.31,64.88,15.76,29.38,30.18
15,27,7,2016,962.75,0,10,27.98,21.7,74,5,29.15,29.97
7,19,6,2016,941.25,0.01,10,24.65,17.68,63.04,7.68,29.46,30.26
7,27,4,2017,257.75,1,9.14,7.97,6.57,87.47,17.57,28.81,29.59
8,16,3,2017,1576.5,0,10,-1.73,-7.45,62.92,8,29.58,30.38
7,20,11,2016,668,0,10,-4.1,-6.33,80.88,8.64,29.57,30.37
9,5,6,2016,1673.5,1,10,20.35,16.44,77.6,14.04,28.97,29.76
7,1,9,2016,632,0,10,17.95,14.71,79.8,9.04,29.34,30.13
6,7,1,2017,0,0,10,-18.69,-20.11,79,0.2,29.7,30.5
14,10,5,2017,2186,0.56,10,27.01,19.02,58.32,5.76,29.07,29.86
7,24,10,2016,157.57,0,10,8.39,7.18,87.28,7.8,29.53,30.33
16,18,11,2016,66.62,0.83,10,12.69,10.98,82.8,17.56,29.03,29.82
14,29,5,2016,3558.5,0.15,10,28.85,14.42,40.64,12.48,29.26,30.05
14,15,1,2017,326,0.65,7.08,1.35,-0.6,85.69,5.36,29.53,30.33
12,20,5,2016,1769.25,1,10,20.04,4.85,35.04,11.88,29.29,30.08
15,1,6,2017,3963,0,10,27.34,3.6,20.56,4.72,29.25,30.04
9,27,2,2016,3690.5,0,9.84,3.11,0.17,77.32,12.44,29.28,30.07
6,5,5,2016,96.38,1,10,6.28,3.76,79.16,14.28,29.13,29.92
12,27,2,2017,2914,0.43,10,13.04,2.6,47.96,8.32,29.33,30.13
16,5,3,2016,153.75,1,10,5.79,1.38,70.69,12.73,29.37,30.17
8,21,3,2016,1560.5,0,10,3.63,-1.41,68,8.96,29.42,30.22
10,3,10,2016,2249.75,1,10,20.24,12.94,61.48,0.12,29.32,30.11
12,13,7,2016,3094.75,0.65,9,28.04,25.01,84.05,9.78,29.14,29.93
16,25,5,2017,2753.25,0.9,10,18.83,13.6,72.48,11.76,28.92,29.7
14,13,4,2016,3915.75,0,10,15.27,-0.26,33.76,5.8,29.43,30.23
14,31,1,2017,1036.75,0.15,10,5.98,0.9,71.2,17.68,29.08,29.87
7,9,4,2016,748.25,0,10,-1.83,-6.87,66.32,13.4,29.43,30.23
8,23,9,2016,1604.25,0,9.96,24.75,20.05,70.24,1.08,29.3,30.09
14,4,3,2017,3729,0,10,11.94,-1.37,39.88,12.04,29.56,30.36
14,21,10,2016,2302.5,0.55,10,13.47,3.91,49.72,10.12,29.34,30.13
10,11,9,2016,3852.75,0.01,10,22,11.72,50.92,1.72,29.44,30.24
17,24,10,2017,48,1,9.96,6.82,5.18,89.3,13.77,29.06,29.85
8,11,12,2016,35.25,0.04,10,0.58,-3.65,21.54,11.76,8.52,30.02
8,6,7,2017,567.25,0,10,25.83,21.41,73.16,6.08,29.24,30.03
16,12,7,2017,1790.75,0.01,10,31.52,26.42,73.76,2.32,29.15,29.94
6,2,4,2016,29.85,0.7,10,1.08,-1.02,80.2,13.24,28.98,29.77
10,24,8,2016,1666.5,0.99,9.04,26.25,24.55,92.56,8.64,29.23,30.02
11,28,6,2016,3144.25,0.75,10,23.72,17.1,64,7.5,29.32,30.14
7,12,4,2017,722.5,0,10,8.46,5.74,80,0.24,29.59,30.39
7,5,11,2016,98.88,0,9.88,5.68,5.12,86.12,2.68,29.62,30.42
8,26,11,2016,1421.25,0,4.36,1.97,2.24,93.8,5.64,29.59,30.39
15,20,8,2016,1950.25,0.65,10,25.2,20.79,73.36,15.08,28.9,29.69
7,22,8,2017,145.35,0.99,7,20.67,20.9,98.92,3.4,29.13,29.92
11,16,11,2016,3853.5,0,10,14.16,8.17,65.84,0.96,29.16,29.95
13,17,12,2016,371.25,1,3.42,-1.88,-2.38,94.08,10.07,28.92,29.71
15,28,12,2016,46.08,1,10,4.93,0.88,71,8.64,29.06,29.85
8,14,4,2016,1516,0,10,10.09,1.99,56.12,8.84,29.46,30.26
12,24,6,2017,1377.5,0.55,10,23.6,10.51,44.28,17.88,29.27,30.06
10,26,6,2017,1293.5,0.42,10,22.08,6.66,36.52,14.64,29.36,30.16
9,11,3,2017,3099.75,0,10,-2.79,-16.69,32.92,7.72,29.69,30.49
11,18,2,2017,3208.5,0,10,16.66,5.66,47.52,12.44,28.99,29.78
6,1,4,2016,2.9,1,10,5.93,5.03,90.54,3.38,28.91,29.7
8,10,11,2016,2268.25,0,10,6.24,4.08,78.2,8.96,29.43,30.23
10,14,10,2016,3487,0,10,16.15,7.93,54.88,10,29.46,30.26
6,8,7,2016,345.25,0,10,22.45,22.22,94.92,5.12,29.1,29.89
17,28,1,2017,0,1,10,0.72,-2.32,79.31,11.61,29.04,29.83
11,3,3,2017,4682.5,0.28,10,-0.16,-8.56,52.12,10.04,29.83,30.64
16,14,8,2017,1990.25,0.9,10,28.03,18.62,52.44,5.56,29.04,29.83
14,4,12,2016,20.45,1,0.7,0.51,0.73,98.53,5.83,29.1,29.9
13,15,5,2017,4592.25,0,10,29.51,12.72,33.12,12.04,29.13,29.92
8,27,7,2016,2000.25,0,10,25.05,21.1,79,7,29.21,30.03
7,3,7,2016,191.73,1,4.2,15.41,14.7,93.32,6.48,29.31,30.1
10,6,2,2016,3987.75,0,9.92,1.93,-1.72,75.16,8.04,29.51,30.31
12,24,4,2017,4591,0,10,23.27,-1.2,19.36,8.32,29.11,29.9
12,19,5,2017,1571,1,10,14.51,12.94,89.88,10,29.21,30
16,8,2,2016,183,1,4.42,-5.2,-7.21,82,14.88,28.99,29.78
8,2,5,2016,643,1,9.04,9.2,7.65,88.88,14.36,29.22,30.01
12,8,6,2017,4711,0,10,25.79,7.35,29.64,2.56,29.19,29.98
7,13,12,2016,3.5,0.14,6.98,-1.37,-2.39,29.9,4.32,10.73,30.11
9,17,4,2017,2425.25,0,10,17.13,4.58,41.84,8.4,29.39,30.19
13,21,3,2017,1599.5,1,10,12.42,2.17,49.48,15.68,29.41,30.21
7,29,6,2017,253.75,0.03,10,24.99,19.36,68.28,9.8,29.07,29.86
12,12,7,2016,3923.75,0.44,10,29.29,23.9,70,16,29.05,29.87
17,4,1,2017,0,0,10,-7.5,-11.74,70.88,12.4,29.3,30.09
9,6,9,2016,2681,0,10,29.07,24.84,74.76,13.64,29.34,30.14
16,22,3,2016,1729.5,0,10,18.73,5.04,38.04,21.92,28.9,29.68
10,14,1,2017,263.75,1,2.91,-0.42,-0.83,95.21,3.62,29.69,30.49
9,9,4,2017,2762.25,0,10,19,9.34,50.28,23.12,29.05,29.84
11,26,5,2017,3562.25,0,10,23.58,17.08,66.88,16.72,29.01,29.8
7,15,5,2016,1083.25,0,10,9.14,3.56,68.12,14,29.34,30.13
15,14,4,2016,2801,0,10,20,0.12,25.24,14.08,29.35,30.14
13,2,10,2016,3200.25,0.91,10,21.01,13.94,60.6,6.36,29.27,30.06
13,4,8,2016,3486.5,0.41,10,30.18,22.98,57.88,2.67,29.17,29.96
16,19,11,2016,29,0.74,10,2.64,-3.75,62.68,16,29.5,30.3
13,21,10,2016,1806,0.84,10,13.38,4.43,52.84,10,29.35,30.14
8,17,4,2016,2185.5,0,10,20.47,8,44.96,5.76,29.6,30.4
6,21,4,2016,33.04,1,3.64,15.06,14.97,97,5.93,29.07,29.86
9,25,7,2017,3210,0,10,23.4,17.04,66.52,8.04,29.39,30.19
9,17,3,2016,3004.25,0,10,11.27,1.59,50.64,14,29.15,29.94
6,15,10,2017,0,1,5.83,16.6,15.68,94.7,20.66,29.09,29.88
9,31,10,2016,1785.5,0,10,11.69,8.95,82.88,10.48,29.34,30.14
17,17,5,2017,1621,0.5,2.92,26.74,15.44,47.4,31.52,28.91,29.69
16,24,3,2016,286.48,1,10,7.36,5.74,85.19,20.84,28.83,29.61
8,26,10,2017,1240.75,0,10,6.45,4.09,84.76,7.72,29.08,29.87
10,6,5,2016,3942.25,0,10,20.51,4.1,31.92,8.88,29.24,30.03
8,6,3,2016,2532.5,0,6.2,2.46,0.33,82.6,11.88,29.47,30.27
12,14,9,2016,2959.25,0.64,10,25.5,19.4,68.44,4.4,29.4,30.2
15,30,3,2016,65.75,1,5.21,12.45,11.63,92.58,19.19,28.96,29.76
11,26,3,2016,4634.5,0,10,11.7,4.25,62.04,9.32,29.34,30.13
